Scheme,Category,State,Year,Budget_Crore,Beneficiaries_Lakhs,Growth_Percent,Utilization_Percent,Impact_Score,Citizen_Satisfaction,Infrastructure_Score,Digital_Access_Percent,Budget_Per_Beneficiary,Efficiency_Score
Ayushman Bharat,Healthcare,Telangana,2025,89804.43,224.51,32.09,51.97,116.68,76.72,56.57,57.57,400.0,60.64
Ayushman Bharat,Healthcare,Telangana,2026,99266.58,367.47,83.5,62.92,231.21,62.68,79.81,37.67,270.14,145.48
Ayushman Bharat,Healthcare,Andhra Pradesh,2022,51598.96,109.84,36.56,93.28,102.46,88.15,71.05,80.21,469.76,95.57
Ayushman Bharat,Healthcare,Andhra Pradesh,2023,84905.62,151.38,41.37,60.63,91.78,47.26,95.74,79.6,560.88,55.65
Ayushman Bharat,Healthcare,Andhra Pradesh,2024,79694.3,57.07,67.93,96.76,55.22,78.72,92.48,88.49,1396.43,53.43
Ayushman Bharat,Healthcare,Andhra Pradesh,2025,92213.64,467.94,-2.43,50.05,234.2,87.23,76.7,31.03,197.06,117.22
Ayushman Bharat,Healthcare,Andhra Pradesh,2026,79102.98,463.63,6.79,84.71,392.74,72.35,93.51,57.23,170.62,332.69
PM-ABHIM,Healthcare,Karnataka,2022,58014.44,295.69,49.14,65.35,193.23,80.61,88.05,70.64,196.2,126.28
PM-ABHIM,Healthcare,Karnataka,2023,40182.49,320.42,81.33,77.84,249.41,72.8,69.83,37.03,125.41,194.14
PM-ABHIM,Healthcare,Karnataka,2024,46383.8,166.87,63.85,93.17,155.47,55.74,81.3,91.11,277.96,144.85
PM-ABHIM,Healthcare,Karnataka,2025,44520.35,99.79,27.68,77.09,76.93,86.91,95.44,57.33,446.14,59.31
PM-ABHIM,Healthcare,Karnataka,2026,51486.68,228.25,67.03,58.48,133.48,63.33,84.74,33.02,225.57,78.06
PM-ABHIM,Healthcare,Maharashtra,2022,50372.04,228.77,55.93,78.03,178.51,59.91,84.43,86.23,220.19,139.29
PM-ABHIM,Healthcare,Maharashtra,2023,41290.96,335.57,37.78,86.22,289.33,87.04,40.86,54.61,123.05,249.46
PM-ABHIM,Healthcare,Maharashtra,2024,59491.56,372.4,58.91,97.08,361.53,57.56,85.36,57.33,159.75,350.97
PM-ABHIM,Healthcare,Maharashtra,2025,50135.13,153.8,14.25,58.28,89.63,63.53,76.89,54.01,325.98,52.24
PM-ABHIM,Healthcare,Maharashtra,2026,51815.44,450.79,52.32,52.88,238.38,52.54,88.19,92.28,114.94,126.06
PM-ABHIM,Healthcare,Tamil Nadu,2022,36270.69,461.37,1.49,67.47,311.29,87.56,86.63,88.03,78.62,210.03
PM-ABHIM,Healthcare,Tamil Nadu,2023,34602.94,481.88,52.43,64.12,308.98,74.15,87.48,86.05,71.81,198.12
PM-ABHIM,Healthcare,Tamil Nadu,2024,33069.9,432.84,8.84,54.58,236.24,45.64,78.79,38.85,76.4,128.94
PM-ABHIM,Healthcare,Tamil Nadu,2025,55580.97,195.29,21.86,83.42,162.91,47.25,95.37,32.95,284.61,135.9
PM-ABHIM,Healthcare,Tamil Nadu,2026,52208.66,192.41,82.96,62.77,120.78,47.64,52.24,74.28,271.34,75.81
PM-ABHIM,Healthcare,Kerala,2022,54794.08,65.61,24.01,65.39,42.9,61.42,68.65,81.4,835.15,28.05
PM-ABHIM,Healthcare,Kerala,2023,34100.6,105.79,79.96,73.51,77.77,90.77,85.37,89.88,322.34,57.17
PM-ABHIM,Healthcare,Kerala,2024,52889.96,477.83,57.38,90.41,432.01,48.38,82.57,48.67,110.69,390.58
PM-ABHIM,Healthcare,Kerala,2025,52394.93,391.45,59.53,89.74,351.29,48.07,66.31,32.34,133.85,315.25
PM-ABHIM,Healthcare,Kerala,2026,37357.31,245.37,39.82,82.15,201.57,85.18,67.17,95.35,152.25,165.59
PM-ABHIM,Healthcare,Uttar Pradesh,2022,28916.36,235.61,4.2,91.89,216.5,72.27,30.86,24.56,122.73,198.94
PM-ABHIM,Healthcare,Uttar Pradesh,2023,52033.68,216.88,73.07,80.41,174.39,84.75,99.34,59.09,239.92,140.23
PM-ABHIM,Healthcare,Uttar Pradesh,2024,32597.44,24.96,19.65,79.86,19.93,79.82,85.13,62.94,1305.99,15.92
PM-ABHIM,Healthcare,Uttar Pradesh,2025,37873.67,176.54,-4.83,66.89,118.09,96.35,73.49,67.62,214.53,78.99
PM-ABHIM,Healthcare,Uttar Pradesh,2026,51502.81,345.64,80.98,79.77,275.72,94.9,62.05,44.41,149.01,219.94
PM-ABHIM,Healthcare,Bihar,2022,37706.42,453.65,15.76,62.09,281.67,91.98,34.8,57.31,83.12,174.89
PM-ABHIM,Healthcare,Bihar,2023,37939.6,86.24,64.51,98.61,85.04,78.75,80.54,56.38,439.93,83.86
PM-ABHIM,Healthcare,Bihar,2024,32599.03,339.43,12.92,72.56,246.29,77.7,45.68,47.7,96.04,178.71
PM-ABHIM,Healthcare,Bihar,2025,31693.41,86.86,58.48,79.71,69.24,74.33,54.45,34.49,364.88,55.19
PM-ABHIM,Healthcare,Bihar,2026,53358.64,290.46,27.22,62.16,180.55,94.71,82.95,42.37,183.7,112.23
PM-ABHIM,Healthcare,Rajasthan,2022,58666.54,160.28,82.8,70.91,113.65,67.58,58.51,33.98,366.03,80.59
PM-ABHIM,Healthcare,Rajasthan,2023,57648.45,340.09,56.39,55.39,188.38,63.12,43.78,84.3,169.51,104.34
PM-ABHIM,Healthcare,Rajasthan,2024,52896.09,101.86,45.01,64.59,65.79,63.43,94.59,36.05,519.3,42.49
PM-ABHIM,Healthcare,Rajasthan,2025,31437.04,165.82,59.1,59.73,99.04,51.88,34.28,73.42,189.59,59.16
PM-ABHIM,Healthcare,Rajasthan,2026,33195.5,20.51,58.76,66.36,13.61,64.01,93.38,25.83,1618.5,9.03
PM-ABHIM,Healthcare,Gujarat,2022,46406.58,242.3,19.52,84.55,204.86,58.34,37.98,99.74,191.53,173.21
PM-ABHIM,Healthcare,Gujarat,2023,43828.23,250.2,39.92,80.94,202.51,92.79,78.35,53.9,175.17,163.91
PM-ABHIM,Healthcare,Gujarat,2024,44456.84,145.44,81.34,83.99,122.16,61.09,89.31,30.41,305.67,102.6
PM-ABHIM,Healthcare,Gujarat,2025,42063.13,201.45,68.06,83.78,168.77,52.05,98.85,56.39,208.8,141.4
PM-ABHIM,Healthcare,Gujarat,2026,53879.15,370.8,1.3,91.01,337.47,52.03,43.02,98.36,145.31,307.13
PM-ABHIM,Healthcare,Punjab,2022,42895.25,208.82,12.32,83.61,174.59,75.01,82.23,73.37,205.42,145.97
PM-ABHIM,Healthcare,Punjab,2023,32751.38,473.04,1.32,88.9,420.53,50.14,69.33,72.32,69.24,373.85
PM-ABHIM,Healthcare,Punjab,2024,33124.04,369.99,27.16,77.71,287.52,91.15,93.75,68.66,89.53,223.43
PM-ABHIM,Healthcare,Punjab,2025,58752.12,194.33,71.73,69.1,134.28,96.52,59.31,91.31,302.33,92.79
PM-ABHIM,Healthcare,Punjab,2026,31194.26,18.1,71.86,84.4,15.28,86.82,64.15,79.73,1723.44,12.9
PM-ABHIM,Healthcare,West Bengal,2022,50059.29,15.23,63.22,50.89,7.75,59.87,73.02,87.94,3286.89,3.94
PM-ABHIM,Healthcare,West Bengal,2023,49235.28,416.76,40.62,91.52,381.42,63.04,64.21,21.18,118.14,349.08
PM-ABHIM,Healthcare,West Bengal,2024,36911.67,402.49,-0.99,69.36,279.17,57.66,37.69,67.25,91.71,193.63
PM-ABHIM,Healthcare,West Bengal,2025,44482.85,155.31,83.56,83.75,130.07,60.88,73.44,75.88,286.41,108.93
PM-ABHIM,Healthcare,West Bengal,2026,42163.11,258.13,39.81,73.83,190.58,73.11,55.58,44.48,163.34,140.71
PM-ABHIM,Healthcare,Madhya Pradesh,2022,31151.11,269.41,-2.3,80.45,216.74,53.75,44.29,88.42,115.63,174.37
PM-ABHIM,Healthcare,Madhya Pradesh,2023,33873.25,438.87,64.59,92.96,407.97,84.41,89.55,49.55,77.18,379.25
PM-ABHIM,Healthcare,Madhya Pradesh,2024,42723.23,365.14,84.33,64.04,233.84,94.58,74.19,89.08,117.01,149.75
PM-ABHIM,Healthcare,Madhya Pradesh,2025,38077.67,246.97,51.71,59.09,145.93,69.87,33.15,48.09,154.18,86.23
PM-ABHIM,Healthcare,Madhya Pradesh,2026,53514.46,362.61,42.18,75.73,274.6,77.72,31.45,85.51,147.58,207.95
PM-ABHIM,Healthcare,Odisha,2022,55306.66,154.06,83.63,52.6,81.04,83.81,76.96,69.94,358.99,42.63
PM-ABHIM,Healthcare,Odisha,2023,32457.77,143.05,14.86,87.1,124.6,55.88,86.34,88.44,226.9,108.53
PM-ABHIM,Healthcare,Odisha,2024,38052.16,95.34,6.68,84.91,80.95,62.64,42.33,48.85,399.12,68.73
PM-ABHIM,Healthcare,Odisha,2025,58649.81,265.74,69.13,83.88,222.9,65.13,58.43,88.09,220.7,186.97
PM-ABHIM,Healthcare,Odisha,2026,39410.86,250.29,-4.54,82.25,205.86,43.58,89.07,63.35,157.46,169.32
PM-ABHIM,Healthcare,Assam,2022,40973.18,463.25,25.93,84.26,390.33,91.3,43.72,67.28,88.45,328.89
PM-ABHIM,Healthcare,Assam,2023,48146.88,60.02,11.22,69.63,41.79,90.35,69.49,87.39,802.18,29.1
PM-ABHIM,Healthcare,Assam,2024,58349.4,14.29,15.01,87.73,12.54,49.15,42.83,92.87,4083.23,11.0
PM-ABHIM,Healthcare,Assam,2025,48276.31,34.72,72.62,63.87,22.18,44.66,79.44,93.47,1390.45,14.17
PM-ABHIM,Healthcare,Assam,2026,36386.9,22.67,54.26,89.71,20.34,72.31,85.79,82.76,1605.07,18.25
PM-ABHIM,Healthcare,Telangana,2022,32430.33,178.23,45.21,76.23,135.86,41.65,83.12,80.59,181.96,103.57
PM-ABHIM,Healthcare,Telangana,2023,51454.28,356.72,46.13,80.03,285.48,54.64,67.1,92.29,144.24,228.47
PM-ABHIM,Healthcare,Telangana,2024,35302.72,77.15,26.82,62.53,48.24,80.74,95.92,66.07,457.59,30.16
PM-ABHIM,Healthcare,Telangana,2025,33051.56,322.15,41.6,67.78,218.35,81.47,47.05,71.69,102.6,148.0
PM-ABHIM,Healthcare,Telangana,2026,40384.22,138.27,5.61,75.27,104.08,80.55,86.15,88.57,292.07,78.34
PM-ABHIM,Healthcare,Andhra Pradesh,2022,54779.86,462.54,40.55,75.89,351.02,73.03,94.92,58.71,118.43,266.39
PM-ABHIM,Healthcare,Andhra Pradesh,2023,48308.01,297.4,9.95,72.85,216.66,57.6,63.25,84.02,162.43,157.84
PM-ABHIM,Healthcare,Andhra Pradesh,2024,39992.84,326.72,48.73,98.74,322.6,92.04,94.42,60.6,122.41,318.54
PM-ABHIM,Healthcare,Andhra Pradesh,2025,33102.49,451.82,-4.21,55.74,251.84,72.73,72.02,75.59,73.26,140.38
PM-ABHIM,Healthcare,Andhra Pradesh,2026,32937.45,150.03,69.74,97.13,145.72,88.37,56.16,32.34,219.54,141.54
National Health Mission,Healthcare,Karnataka,2022,83097.8,374.44,18.13,99.59,372.9,93.91,41.6,34.67,221.93,371.37
National Health Mission,Healthcare,Karnataka,2023,92391.41,185.93,45.69,92.93,172.78,82.04,89.53,88.45,496.92,160.56
National Health Mission,Healthcare,Karnataka,2024,69694.94,53.32,18.56,97.4,51.93,60.01,80.72,22.03,1307.11,50.58
National Health Mission,Healthcare,Karnataka,2025,50176.53,352.08,-4.74,68.06,239.63,85.58,85.64,63.51,142.51,163.09
National Health Mission,Healthcare,Karnataka,2026,81603.07,382.7,74.56,78.14,299.04,50.24,79.85,70.56,213.23,233.67
National Health Mission,Healthcare,Maharashtra,2022,55444.58,126.17,4.77,75.73,95.55,89.77,96.91,27.68,439.44,72.36
National Health Mission,Healthcare,Maharashtra,2023,90556.54,46.73,68.4,54.08,25.27,68.41,47.84,20.27,1937.87,13.67
National Health Mission,Healthcare,Maharashtra,2024,85289.59,456.81,69.75,93.03,424.97,83.05,55.21,76.25,186.71,395.35
National Health Mission,Healthcare,Maharashtra,2025,53746.2,139.02,37.57,51.3,71.32,79.02,36.99,24.51,386.61,36.59
National Health Mission,Healthcare,Maharashtra,2026,70759.72,380.61,2.21,96.3,366.53,96.21,77.11,70.0,185.91,352.97
National Health Mission,Healthcare,Tamil Nadu,2022,46087.29,21.29,70.35,95.25,20.28,67.91,44.89,84.65,2164.74,19.32
National Health Mission,Healthcare,Tamil Nadu,2023,88007.12,137.62,69.31,63.57,87.49,64.64,88.27,28.15,639.49,55.62
National Health Mission,Healthcare,Tamil Nadu,2024,48800.75,195.72,9.4,98.99,193.74,93.33,69.35,36.02,249.34,191.78
National Health Mission,Healthcare,Tamil Nadu,2025,70293.82,497.1,77.6,55.4,275.39,50.71,91.7,34.33,141.41,152.57
National Health Mission,Healthcare,Tamil Nadu,2026,66462.25,308.26,42.14,79.7,245.68,69.31,72.46,48.72,215.6,195.81
National Health Mission,Healthcare,Kerala,2022,48042.44,297.82,14.89,79.15,235.72,67.57,31.54,53.96,161.31,186.57
National Health Mission,Healthcare,Kerala,2023,83506.14,201.63,79.8,68.32,137.75,54.85,56.56,92.76,414.16,94.11
National Health Mission,Healthcare,Kerala,2024,75898.81,424.62,58.14,66.2,281.1,47.57,79.84,80.12,178.75,186.09
National Health Mission,Healthcare,Kerala,2025,56915.66,495.63,11.69,51.33,254.41,54.05,90.04,31.28,114.83,130.59
National Health Mission,Healthcare,Kerala,2026,83152.33,308.85,2.49,95.02,293.47,97.21,96.97,67.38,269.23,278.86
National Health Mission,Healthcare,Uttar Pradesh,2022,83943.5,46.55,63.03,61.16,28.47,88.34,44.98,62.95,1803.3,17.41
National Health Mission,Healthcare,Uttar Pradesh,2023,47451.49,72.36,7.82,70.86,51.27,85.54,97.06,37.46,655.77,36.33
National Health Mission,Healthcare,Uttar Pradesh,2024,76190.16,455.33,33.03,56.23,256.03,43.19,73.78,65.69,167.33,143.97
National Health Mission,Healthcare,Uttar Pradesh,2025,91602.48,365.84,12.73,92.83,339.61,74.57,66.66,93.32,250.39,315.26
National Health Mission,Healthcare,Uttar Pradesh,2026,83265.73,361.94,62.73,97.82,354.05,91.85,95.97,91.09,230.05,346.33
National Health Mission,Healthcare,Bihar,2022,81058.53,110.93,67.96,85.0,94.29,89.18,84.73,49.23,730.72,80.15
National Health Mission,Healthcare,Bihar,2023,54275.81,61.92,31.65,96.65,59.85,77.47,98.82,32.55,876.55,57.85
National Health Mission,Healthcare,Bihar,2024,45805.22,22.64,66.67,95.04,21.52,83.73,64.19,29.91,2023.2,20.45
National Health Mission,Healthcare,Bihar,2025,85162.49,203.06,50.79,65.84,133.69,48.69,96.09,77.92,419.4,88.02
National Health Mission,Healthcare,Bihar,2026,88417.82,202.24,62.36,57.22,115.72,59.55,79.69,60.41,437.19,66.21
National Health Mission,Healthcare,Rajasthan,2022,58233.79,174.54,47.1,68.37,119.33,83.34,55.44,51.36,333.64,81.59
National Health Mission,Healthcare,Rajasthan,2023,53216.94,366.79,-3.1,84.5,309.94,59.65,89.47,25.24,145.09,261.9
National Health Mission,Healthcare,Rajasthan,2024,78749.98,488.9,43.72,62.07,303.46,94.74,96.78,78.17,161.08,188.36
National Health Mission,Healthcare,Rajasthan,2025,58479.65,132.76,51.94,87.89,116.68,62.87,83.3,88.95,440.49,102.55
National Health Mission,Healthcare,Rajasthan,2026,75942.66,268.94,57.6,58.39,157.03,73.57,38.3,91.54,282.38,91.69
National Health Mission,Healthcare,Gujarat,2022,62929.11,325.63,16.23,94.8,308.7,46.03,55.46,98.69,193.25,292.65
National Health Mission,Healthcare,Gujarat,2023,61989.59,300.31,38.55,75.16,225.71,86.94,53.01,56.45,206.42,169.64
National Health Mission,Healthcare,Gujarat,2024,70988.37,245.26,8.95,85.5,209.7,80.02,59.57,68.79,289.44,179.29
National Health Mission,Healthcare,Gujarat,2025,78759.63,111.08,1.08,85.15,94.58,56.89,30.99,91.88,709.04,80.53
National Health Mission,Healthcare,Gujarat,2026,55386.84,140.6,70.33,85.01,119.52,94.28,59.11,64.15,393.93,101.6
National Health Mission,Healthcare,Punjab,2022,91321.25,447.15,29.51,88.16,394.21,52.01,34.21,28.42,204.23,347.54
National Health Mission,Healthcare,Punjab,2023,79526.73,246.01,16.61,90.61,222.91,54.92,68.1,55.38,323.27,201.98
National Health Mission,Healthcare,Punjab,2024,63688.95,206.49,52.05,83.21,171.82,67.29,98.36,90.6,308.44,142.97
National Health Mission,Healthcare,Punjab,2025,78716.02,256.12,19.84,98.99,253.53,51.0,50.07,62.04,307.34,250.97
National Health Mission,Healthcare,Punjab,2026,73204.42,158.3,35.41,61.79,97.81,75.55,80.93,33.18,462.44,60.44
National Health Mission,Healthcare,West Bengal,2022,94135.55,155.69,73.38,62.49,97.29,79.65,30.46,96.09,604.63,60.8
National Health Mission,Healthcare,West Bengal,2023,93943.26,486.08,49.08,57.63,280.13,70.21,89.5,67.06,193.27,161.44
National Health Mission,Healthcare,West Bengal,2024,61556.75,185.37,2.88,54.78,101.55,90.82,91.05,70.99,332.08,55.63
National Health Mission,Healthcare,West Bengal,2025,77164.72,45.02,46.63,94.39,42.49,64.38,81.65,75.66,1714.01,40.11
National Health Mission,Healthcare,West Bengal,2026,57097.3,28.29,75.19,51.7,14.63,93.04,64.93,88.78,2018.29,7.56
National Health Mission,Healthcare,Madhya Pradesh,2022,68167.6,293.42,80.8,73.35,215.22,54.13,40.76,26.33,232.32,157.86
National Health Mission,Healthcare,Madhya Pradesh,2023,50991.88,370.09,13.69,82.51,305.36,95.45,76.76,80.01,137.78,251.95
National Health Mission,Healthcare,Madhya Pradesh,2024,46969.69,84.69,25.32,52.2,44.21,51.59,61.67,83.24,554.61,23.08
National Health Mission,Healthcare,Madhya Pradesh,2025,84171.48,392.98,6.92,62.86,247.03,90.04,50.91,42.6,214.19,155.28
National Health Mission,Healthcare,Madhya Pradesh,2026,84670.16,240.1,49.62,94.06,225.84,90.81,78.41,38.46,352.65,212.43
National Health Mission,Healthcare,Odisha,2022,52867.29,68.89,45.6,62.26,42.89,64.2,33.38,94.68,767.42,26.7
National Health Mission,Healthcare,Odisha,2023,69162.39,223.79,41.99,63.17,141.37,51.88,75.57,25.8,309.05,89.3
National Health Mission,Healthcare,Odisha,2024,93388.94,349.82,67.69,68.89,240.99,54.65,66.06,74.57,266.96,166.02
National Health Mission,Healthcare,Odisha,2025,81792.52,72.16,73.17,97.69,70.49,48.68,79.16,97.94,1133.49,68.86
National Health Mission,Healthcare,Odisha,2026,71987.99,308.29,9.94,81.01,249.75,58.1,60.8,38.04,233.51,202.32
National Health Mission,Healthcare,Assam,2022,64528.2,425.4,41.19,61.81,262.94,58.12,40.99,76.59,151.69,162.52
National Health Mission,Healthcare,Assam,2023,63667.18,292.98,73.53,74.48,218.21,42.42,58.57,98.18,217.31,162.52
National Health Mission,Healthcare,Assam,2024,47520.73,492.81,8.99,65.72,323.87,51.35,94.35,89.12,96.43,212.85
National Health Mission,Healthcare,Assam,2025,90611.22,210.19,64.3,89.85,188.86,46.04,37.38,57.61,431.09,169.69
National Health Mission,Healthcare,Assam,2026,56792.45,211.9,6.15,98.37,208.45,88.97,52.91,80.05,268.02,205.05
National Health Mission,Healthcare,Telangana,2022,82924.5,430.67,42.71,85.39,367.75,54.94,46.17,58.73,192.55,314.02
National Health Mission,Healthcare,Telangana,2023,85386.17,428.5,-0.07,61.02,261.47,88.54,83.27,70.68,199.27,159.55
National Health Mission,Healthcare,Telangana,2024,54756.6,331.84,50.12,95.03,315.35,75.99,95.53,72.56,165.01,299.68
National Health Mission,Healthcare,Telangana,2025,74151.96,397.59,22.22,90.45,359.62,93.07,75.16,30.96,186.5,325.28
National Health Mission,Healthcare,Telangana,2026,78346.02,94.29,79.56,85.7,80.81,62.78,83.78,20.56,830.9,69.25
National Health Mission,Healthcare,Andhra Pradesh,2022,82406.17,202.16,53.77,64.35,130.09,81.49,46.16,27.58,407.63,83.71
National Health Mission,Healthcare,Andhra Pradesh,2023,77194.98,163.57,26.0,90.77,148.47,42.8,62.94,79.16,471.94,134.77
National Health Mission,Healthcare,Andhra Pradesh,2024,63040.1,42.34,67.99,53.97,22.85,71.05,87.78,90.32,1488.9,12.33
National Health Mission,Healthcare,Andhra Pradesh,2025,55484.4,257.35,6.73,78.46,201.92,48.55,99.45,55.67,215.6,158.43
National Health Mission,Healthcare,Andhra Pradesh,2026,85698.67,456.88,52.97,50.57,231.04,57.22,32.03,63.46,187.57,116.84
Universal Immunisation Programme,Healthcare,Karnataka,2022,66080.76,328.25,-4.89,67.11,220.29,52.69,74.78,60.12,201.31,147.84
Universal Immunisation Programme,Healthcare,Karnataka,2023,75528.14,265.34,73.12,82.93,220.05,49.66,37.95,57.35,284.65,182.49
Universal Immunisation Programme,Healthcare,Karnataka,2024,60417.72,237.27,63.42,99.77,236.72,53.39,62.16,65.14,254.64,236.18
Universal Immunisation Programme,Healthcare,Karnataka,2025,103561.05,292.45,54.2,79.2,231.62,55.72,70.33,82.04,354.12,183.44
Universal Immunisation Programme,Healthcare,Karnataka,2026,65568.22,438.59,60.94,85.13,373.37,71.76,93.96,77.66,149.5,317.85
Universal Immunisation Programme,Healthcare,Maharashtra,2022,99506.06,474.79,54.15,57.09,271.06,66.65,55.89,97.73,209.58,154.75
Universal Immunisation Programme,Healthcare,Maharashtra,2023,93787.14,431.76,53.81,92.35,398.73,57.02,89.9,36.49,217.22,368.23
Universal Immunisation Programme,Healthcare,Maharashtra,2024,83160.41,480.41,47.65,78.85,378.8,96.42,87.57,20.23,173.1,298.68
Universal Immunisation Programme,Healthcare,Maharashtra,2025,96846.75,225.73,6.2,96.71,218.3,87.51,36.95,88.14,429.04,211.12
Universal Immunisation Programme,Healthcare,Maharashtra,2026,101854.39,82.93,10.27,51.22,42.48,44.36,46.32,85.16,1228.2,21.76
Universal Immunisation Programme,Healthcare,Tamil Nadu,2022,76720.96,244.7,5.8,83.66,204.72,87.19,85.0,20.55,313.53,171.27
Universal Immunisation Programme,Healthcare,Tamil Nadu,2023,78952.45,270.47,64.53,64.75,175.13,71.02,41.54,68.41,291.91,113.4
Universal Immunisation Programme,Healthcare,Tamil Nadu,2024,80230.61,172.83,69.85,57.57,99.5,52.2,86.95,93.47,464.22,57.28
Universal Immunisation Programme,Healthcare,Tamil Nadu,2025,77752.71,270.47,57.56,86.04,232.71,66.44,71.02,25.38,287.47,200.22
Universal Immunisation Programme,Healthcare,Tamil Nadu,2026,97260.95,267.29,43.38,77.95,208.35,97.53,79.17,85.74,363.88,162.41
Universal Immunisation Programme,Healthcare,Kerala,2022,83527.45,426.35,38.42,93.75,399.7,85.47,66.38,66.06,195.91,374.72
Universal Immunisation Programme,Healthcare,Kerala,2023,84388.5,51.67,45.81,50.11,25.89,54.12,42.71,82.53,1633.22,12.97
Universal Immunisation Programme,Healthcare,Kerala,2024,92873.0,434.6,22.11,83.73,363.89,45.0,94.17,61.95,213.7,304.69
Universal Immunisation Programme,Healthcare,Kerala,2025,83715.01,222.97,57.46,73.77,164.48,59.23,69.31,26.12,375.45,121.34
Universal Immunisation Programme,Healthcare,Kerala,2026,66309.43,152.03,1.82,72.03,109.51,82.89,40.76,51.83,436.16,78.88
Universal Immunisation Programme,Healthcare,Uttar Pradesh,2022,101662.17,29.0,27.55,84.77,24.58,95.59,80.85,51.87,3505.59,20.84
Universal Immunisation Programme,Healthcare,Uttar Pradesh,2023,68766.7,85.75,-4.72,50.07,42.94,56.13,33.57,74.68,801.94,21.5
Universal Immunisation Programme,Healthcare,Uttar Pradesh,2024,92549.57,235.1,61.64,66.38,156.06,68.1,77.01,90.16,393.66,103.59
Universal Immunisation Programme,Healthcare,Uttar Pradesh,2025,95683.92,147.51,40.14,66.17,97.61,88.5,88.11,37.38,648.66,64.59
Universal Immunisation Programme,Healthcare,Uttar Pradesh,2026,54045.51,223.35,46.68,66.28,148.04,71.22,83.94,66.7,241.98,98.12
Universal Immunisation Programme,Healthcare,Bihar,2022,80108.36,239.83,69.27,88.47,212.18,56.43,52.06,93.0,334.02,187.72
Universal Immunisation Programme,Healthcare,Bihar,2023,80037.52,424.42,39.15,97.41,413.43,52.28,67.24,69.23,188.58,402.72
Universal Immunisation Programme,Healthcare,Bihar,2024,60895.21,107.28,84.54,99.67,106.93,82.31,80.8,53.24,567.63,106.58
Universal Immunisation Programme,Healthcare,Bihar,2025,83607.07,309.19,13.66,66.71,206.26,52.24,96.37,60.56,270.41,137.6
Universal Immunisation Programme,Healthcare,Bihar,2026,105896.48,146.9,46.53,71.15,104.52,59.31,91.54,55.44,720.87,74.37
Universal Immunisation Programme,Healthcare,Rajasthan,2022,95732.57,472.93,17.53,50.89,240.67,69.65,41.36,47.37,202.42,122.48
Universal Immunisation Programme,Healthcare,Rajasthan,2023,100864.35,354.3,7.29,69.07,244.72,75.13,98.44,72.95,284.69,169.03
Universal Immunisation Programme,Healthcare,Rajasthan,2024,64588.87,326.02,13.17,60.26,196.46,89.52,53.39,94.74,198.11,118.39
Universal Immunisation Programme,Healthcare,Rajasthan,2025,82933.57,236.2,36.85,95.27,225.03,55.54,97.73,38.17,351.12,214.39
Universal Immunisation Programme,Healthcare,Rajasthan,2026,104690.38,300.32,44.63,74.47,223.65,64.14,59.16,63.89,348.6,166.55
Universal Immunisation Programme,Healthcare,Gujarat,2022,54701.1,137.19,57.8,99.07,135.91,48.24,96.35,99.33,398.73,134.65
Universal Immunisation Programme,Healthcare,Gujarat,2023,79919.84,278.21,66.91,56.89,158.27,93.15,30.34,20.62,287.26,90.04
Universal Immunisation Programme,Healthcare,Gujarat,2024,86060.91,318.5,41.98,86.21,274.58,76.67,46.07,81.36,270.21,236.72
Universal Immunisation Programme,Healthcare,Gujarat,2025,99175.51,356.43,60.36,79.91,284.82,45.88,73.13,46.61,278.25,227.6
Universal Immunisation Programme,Healthcare,Gujarat,2026,65957.67,347.1,82.17,88.23,306.25,81.43,43.99,50.62,190.02,270.2
Universal Immunisation Programme,Healthcare,Punjab,2022,104231.57,391.36,55.53,93.9,367.49,91.68,85.19,96.49,266.33,345.07
Universal Immunisation Programme,Healthcare,Punjab,2023,70715.07,493.79,8.79,57.39,283.39,91.34,82.29,56.89,143.21,162.64
Universal Immunisation Programme,Healthcare,Punjab,2024,96830.96,388.78,66.33,73.54,285.91,41.57,63.95,79.23,249.06,210.26
Universal Immunisation Programme,Healthcare,Punjab,2025,65998.83,410.94,48.79,63.87,262.47,76.24,57.89,50.97,160.6,167.64
Universal Immunisation Programme,Healthcare,Punjab,2026,66604.75,44.7,11.32,80.4,35.94,86.5,54.94,55.14,1490.04,28.9
Universal Immunisation Programme,Healthcare,West Bengal,2022,77220.79,453.26,0.94,68.23,309.26,63.77,79.66,45.45,170.37,211.01
Universal Immunisation Programme,Healthcare,West Bengal,2023,69499.82,76.09,26.61,64.2,48.85,46.37,84.03,23.7,913.39,31.36
Universal Immunisation Programme,Healthcare,West Bengal,2024,64582.34,175.37,44.55,97.44,170.88,86.13,44.44,45.16,368.26,166.51
Universal Immunisation Programme,Healthcare,West Bengal,2025,86961.11,52.16,40.12,88.94,46.39,73.47,98.23,24.92,1667.2,41.26
Universal Immunisation Programme,Healthcare,West Bengal,2026,87063.32,101.44,24.22,86.01,87.25,89.25,99.96,35.04,858.27,75.04
Universal Immunisation Programme,Healthcare,Madhya Pradesh,2022,68776.74,300.05,69.41,78.67,236.05,90.62,63.79,26.7,229.22,185.7
Universal Immunisation Programme,Healthcare,Madhya Pradesh,2023,76800.14,170.3,13.42,87.41,148.86,52.75,83.76,23.99,450.97,130.12
Universal Immunisation Programme,Healthcare,Madhya Pradesh,2024,106090.61,93.25,23.93,99.89,93.15,77.12,49.96,45.11,1137.7,93.05
